address,level,gainzPoints,Yuzu
0x2f024b3eccfe52150e55a147ff4b3fc8640871b5,Platinum 🌟,30.388841112589784,8716.205788364834
0xd32820e093df01d8c2643b6a5b187b8c2b8644bc,Platinum 🌟,29.544104166630742,8531.184643977325
0x4aa4a02708b5a191cd9f42d6c3a99385b180610c,Platinum 🌟,29.453081952883295,8511.248219706078
0x2d334256bb88d2488bfb582ac757b109edbb66bc,Platinum 🌟,29.021704293943586,8416.764382457055
0xaa7793947692f5e606b648602e6c313e91aa6c88,Platinum 🌟,27.84506255780713,8159.0467561646365
0xf7dcc97e4158c756345b7202025648d5ac11cdf4,Platinum 🌟,25.8142827232603,7714.248868746141
0xbc67cfffaddd07bcbb784369994496d130ba7956,Platinum 🌟,25.227199074043398,7585.661041317824
0x692e40c72f537f105b9ba2cebfdcf966f4e41948,Platinum 🌟,23.496915509230686,7206.680286648583
0x8afe92dca564480fef01ca00a50162ecf7984f69,Platinum 🌟,22.880871527749953,7071.7493321166985
0x1317e00095313c3d297e8d16dd5835dd4f2cc602,Platinum 🌟,22.40747106478757,6968.061319144286
0x60f29a2cc63496bbcddcdeb77781959ebeea5497,Platinum 🌟,22.351695601824673,6955.844924400924
0x3185b473918ac7f6bf13400489cd696d45f1ec18,Platinum 🌟,21.06235820383502,6673.44377926476
0xde6785b0574e5867366d9e1732f968eac8b333bc,Platinum 🌟,19.399710648124557,6309.277212450999
0xb8f6484da877ce8268453d26d4b649b7c7946206,Platinum 🌟,17.03468325567621,5791.269711119552
0xf627f04aada6ad8878a0c4928a91ff3e5116a2d9,Platinum 🌟,16.907813657386846,5763.481701638291
0xa71e54202d9bca276119d283f51bda5051c0abb4,Platinum 🌟,16.516161342751033,5677.698831831803
0x5270c21628ef9b2031617ec8a73a5e98fe6b1d39,Platinum 🌟,16.079716435165633,5582.105124643025
0xa8d032262775d08bb5f6d6e1cc7d2ac91bf7c2d3,Platinum 🌟,12.603029513873564,4820.612927655899
0x80d6acbc3b928a69eace83c0d5714e03e5b55ef7,Platinum 🌟,12.292575231466534,4752.614710121163
0x6c492c42393e1561d690e0453ccb94f15def587d,Platinum 🌟,11.988405671281718,4685.993023473674
0x7d45259d6b8de5100aa2338f70d525f147d66ddf,Platinum 🌟,11.70843865739317,4624.67237501831
0xe98b886aa448d585067087d5159792266e1df0e7,Platinum 🌟,10.395186342579953,4337.033190632418
0x51de402d4a0d23bed2bbdbc0257c65d146049a26,Platinum 🌟,10.283711805543051,4312.617132460346
0x0767e02552f1071ad924b982a60bbaf2e56164ce,Platinum 🌟,10.236921296283848,4302.368695226688
0x492828bd90d503863c74fcb05765d207cfeebea5,Platinum 🌟,10.054155092580366,4262.337757398833
0x17f439241132e182c2ca65e278579b3b8ab1660b,Platinum 🌟,9.881228726839026,4224.46202077184
0x4e1926d10817b2ac8a8dd5ed0b7fe7649bc50dac,Platinum 🌟,9.496319444432897,4140.156064631488
0x10fb1560037db5e360e8883d023b4ff7a33db8a8,Platinum 🌟,8.991651909710374,4029.619683742435
0x7dc0323c7438a9c991a26c24c050d320d9e19790,Platinum 🌟,7.7395868055461445,3755.3822190165056
0xa152f0a489e520b81ca719df139782266effdae0,Platinum 🌟,7.241658992065385,3646.3220265941327
0x048a0f98a58fe4db9ac4c49610783537ad2e3495,Platinum 🌟,7.090242129620808,3613.157476016491
0xa9687f086031c2e2d0ce3c088c41b5f6feb305f5,Platinum 🌟,6.593295487191537,3504.3121876440177
0xf497f034ad1382090ff9c4817076fc87804f7402,Platinum 🌟,5.98557679881012,3371.204706400433
0xd216f9ea4086752bd3c65f5e6c617d7e9382d73f,Platinum 🌟,5.78753314612195,3327.82757765718
0xa4256ce0ee2b1679a93395b88033ea26f1ff11d4,Platinum 🌟,5.134837091331983,3184.8687884481337
0x8dfedb1f62820222ec8ff4d68ddcd86b71116d37,Platinum 🌟,5.125180185178263,3182.75365445719
0x956900132b5ee2282aa65ce4fa2120ea533dc6c9,Platinum 🌟,4.990419588828168,3153.2372945130533
0xecdb9f7e83a542f6fc93ce4185eeccea7bfeb347,Platinum 🌟,4.969035879623587,3148.553660907103
0x23b704904bf5cf1afb0204e7bd9886c838dc2e16,Platinum 🌟,4.759121759253668,3102.5765659549634
0x627f23c2140ed56eb89933fefd4006ce884ad179,Platinum 🌟,4.695961722637496,3088.7427419341448
0xcae783d37ac16201631025ccea20becd1b08b2f6,Platinum 🌟,4.345358796291013,3011.9508424338933
0x548ae35ef8f710897d682a270bcc1b7921b28b2b,Platinum 🌟,4.2999513888836605,3002.005343397338
0xd1a047600e88c99a51d71a58582ec59c151c6bf6,Platinum 🌟,4.20976006714828,2982.2509078406492
0x1347d616d0b78c53b4d71f76714f5a3c299f34b8,Platinum 🌟,4.181717592587508,2976.108817383363
