address,amount,reasonCode
0x3fc0d527190d1c96659a79f40c715dc5c9022014,126278.2595739613,Season0_dapp_gainzswap
0x4d14d74c84dc509a405404c80992d58308e46608,126268.74458206989,Season0_dapp_gainzswap
0x50ae52d4ab077fbae07a320d2d7da9676ac4a73a,125811.65605678578,Season0_dapp_gainzswap
0x6af92b670a020041805cc2e188ebaff93d2da43a,125754.84315879906,Season0_dapp_gainzswap
0x5417a09e92e4a26abf6a44cdc104be87771233f5,125753.22456447654,Season0_dapp_gainzswap
0xe4b59a1e2c647cb536c417c314fd901f611c10e1,125680.58674613,Season0_dapp_gainzswap
0x14f4ac3a204e50aa59c62bff71bb95f50e0cfb66,125572.15184075768,Season0_dapp_gainzswap
0x49918faf3680a7d2eacc116d5c39ce5aad64ce9c,125513.77069285202,Season0_dapp_gainzswap
0xada7284c30a004c99f95ec6e6b20f68007bbe093,125454.17041163419,Season0_dapp_gainzswap
0x5aa92c63bfeef2c979a93d46579feccad67ac8a7,125443.70818230862,Season0_dapp_gainzswap
0x28a1c5270df5c9612736622d1605fb2bdb5abebd,125316.87772320276,Season0_dapp_gainzswap
0xbba9453e78617ec955d44148ed453a7e1a6cfa8f,125183.88877105308,Season0_dapp_gainzswap
0x89173d9bf8ccda0e84b35109b0a5cc2972a1a3ab,125163.29515734066,Season0_dapp_gainzswap
0xc4c0c31ce3d233ce9449150cc3a12e9c769cc2b3,125155.29372919883,Season0_dapp_gainzswap
0xac2dcd878bf447c3dd7f735e69af51ce8fd7bc7b,124935.65747836138,Season0_dapp_gainzswap
0x8aa14cfdb04fe4d80ea4e69d6170923ec08fffe3,124883.81254377766,Season0_dapp_gainzswap
0x0e44ad9a1d467438e699b808314ed357b7203a36,124869.47772922336,Season0_dapp_gainzswap
0xd47a9bb54e07a4f850ed10881f3e63734a1967eb,124812.52274084747,Season0_dapp_gainzswap
0x4886aa2b5d84312dd7993eaee29df0a74fd2402b,124811.21503461892,Season0_dapp_gainzswap
0x382667592043b4a9338da5840173c42f75b57417,124391.05617163506,Season0_dapp_gainzswap
0xcfc2fc23c980bec1e0665cd6cd481dd8a4b5fb1f,124384.24437420526,Season0_dapp_gainzswap
0x7aa1be3f5e9c5eac85128c1ebced5ad9f7c959ad,124318.87608033366,Season0_dapp_gainzswap
0x5e8e66df40e58f3a96142aca5329575e5f638e75,92818.96722130329,Season0_dapp_gainzswap
0x97bd3a4798e43a83e63c68ee535cf42746654141,90196.24809513026,Season0_dapp_gainzswap
0xae5d32b6f9472385fa2df37b964b05100ee2fbf4,83342.72413841274,Season0_dapp_gainzswap
0x8d0739d9d0d49afcf8d101416cd2759bf8922013,69293.02611784314,Season0_dapp_gainzswap
0xbfcdc2f21dfd9ac76beb1f986e156ee73c93f889,61448.69555739621,Season0_dapp_gainzswap
0x9f270ecbb2f1291b5f85e4bd896e69d66cf4092e,60590.49004053029,Season0_dapp_gainzswap
0x0cb6c036b411b30a04424a35aa3ab83602ab4633,57399.55146868761,Season0_dapp_gainzswap
0x6ef942d16f120c81b09452fa7919ed42b6fca62c,51728.71750823885,Season0_dapp_gainzswap
0x546fa71bdaf724f68d9ad7a5917b050f252503db,51298.33943988181,Season0_dapp_gainzswap
0x3488a46e599b20b4d0812e8d9d3f3b0e2dd0ccd2,48727.73834660663,Season0_dapp_gainzswap
